"","headline","url","date_time"
"1","
                        19:22
                          Фото  У Рівному сплюндрували монумент Вічної Слави
                    ","/rubric-regions/2659857-u-rivnomu-splundruvali-monument-vicnoi-slavi.html",NA
"2","
                        19:00
                          Карта  За кілька днів Україну прогріє до +20°
                    ","/rubric-regions/2659846-za-kilka-dniv-ukrainu-progrie-do-20.html",NA
"3","
                        19:00
                         З 1 квітня стартує призов у армію
                    ","/rubric-ato/2659842-z-1-kvitna-startue-prizov-u-armiu.html",NA
"4","
                        18:51
                         Українські бійці на Донбасі знищили БМП окупантів
                    ","/rubric-ato/2659835-ukrainski-bijci-na-donbasi-znisili-bmp-okupantiv.html",NA
"5","
                        18:51
                         Туреччина все ж отримає літаки F-35 попри купівлю російських С-400
                    ","/rubric-world/2659833-tureccina-vse-z-otrimae-litaki-f35-popri-kupivlu-rosijskih-s400.html",NA
"6","
                        18:49
                          Оновлюється  ""Динамо"" - ""Челсі"". Текстова трансляція
                    ","/rubric-sports/2659409-dinamo-celsi-tekstova-translacia.html",NA
"7","
                        18:42
                         Президент Австрії на зустрічі з Лавровим закликав звільнити Сенцова
                    ","/rubric-crimea/2659844-prezident-avstrii-na-zustrici-z-lavrovim-zaklikav-zvilniti-sencova.html",NA
"8","
                        18:40
                         У Раді розробили законопроект про реформу Укроборонпрому
                    ","/rubric-polytics/2659823-u-radi-rozrobili-zakonoproekt-pro-reformu-ukroboronpromu.html",NA
"9","
                        18:35
                         Антисептики вбивають не лише погані, а й хороші бактерії — Супрун
                    ","/rubric-culture/2659815-antiseptiki-vbivaut-ne-lise-pogani-a-j-horosi-bakterii-suprun.html",NA
"10","
                        18:21
                         Божка призначили заступником Клімкіна
                    ","/rubric-polytics/2659806-zvilnenogo-iz-szr-bozka-priznacili-zastupnikom-klimkina.html",NA
"11","
                        18:08
                          Фото  У Миколаєві під час зустрічі з Вілкулом сталася штовханина
                    ","/rubric-elections/2659798-u-mikolaevi-pid-cas-zustrici-z-vilkulom-stalasa-stovhanina.html",NA
"12","
                        18:00
                          Фото  В Укрінформі відкрили виставку робіт родини Примаченків
                    ","/rubric-culture/2659853-v-ukrinformi-vidkrili-vistavku-robit-rodini-primacenkiv.html",NA
"13","
                        17:59
                         Вже п'ятий прокурор невдовзі залишить команду Мюллера — ЗМІ
                    ","/rubric-world/2659788-vze-patij-prokuror-nevdovzi-zalisit-komandu-mullera-zmi.html",NA
"14","
                        17:53
                         Вінник розповів про “ремонтні” схеми для військової техніки уряду Тимошенко
                    ","/rubric-polytics/2659782-vinnik-rozpoviv-pro-remontni-shemi-dla-vijskovoi-tehniki-uradu-timosenko.html",NA
"15","
                        17:37
                         Мей просуватиме у парламенті третій варіант Brexit-угоди
                    ","/rubric-world/2659769-mej-prosuvatime-u-parlamenti-tretij-variant-brexitugodi.html",NA
